Symbol,Current_Price,Reliability_Score,Reliability_Rating,OCF_Conversion,Cash_Flow_Stability,Working_Capital_Efficiency,Accruals_Quality,FCF_Generation,Operating_CF_M,Free_CF_M,Net_Income_M,OCF_NI_Ratio,FCF_Yield,FCF_Conversion,Total_Cash_M,Volatility,Max_Drawdown,Market_Cap_B,Sector,Reliability_Rank,Rank
MARUTI.NS,14452.0,0.6773985496391782,Good,0.9253095364672438,0.6233370755333456,0.5599999999999999,0.5835864164312395,0.6093289397550611,,,145328.996352,,,,88871.002112,0.20561893956978913,0.2044370041609124,4543.75243776,Consumer Cyclical,25.0,25
HCLTECH.NS,1504.199951171875,0.6728259717804013,Good,0.9517671949275278,0.7311016118972656,0.6766787244046563,0.3299995186538144,0.519140889950314,2571.000064,1986.625024,1995.000064,1.288721795249025,0.00048747421134761975,0.7727051631843134,3206.000128,0.23219252553593994,0.30662011541191286,4075.343839232,Technology,26.0,26
NTPC.NS,337.8500061035156,0.6704780629423713,Good,0.6086472859832224,0.6975230111342957,0.6995121120406048,0.5874161333294985,0.753983984060804,,,239589.195776,,,,115071.000576,0.25797079813179974,0.32302293903421514,3276.019859456,Utilities,27.0,27
INFY.NS,1532.0999755859375,0.6617449593668764,Good,0.7477540774767584,0.7346860804578649,0.7630640163772789,0.5017186329061835,0.4999931284736524,4184.0,3329.0624,3204.0,1.3058676654182273,0.0005241818941980896,0.7956650095602295,4137.999872,0.24041575869598875,0.30152021913737864,6350.96793088,Technology,28.0,28
ASIANPAINT.NS,2492.89990234375,0.656462132037036,Good,0.6722131343392489,0.7442456942636793,0.6172726368826772,0.6033720814245277,0.6279968500463669,,,35970.199552,,,,46921.699328,0.1928253745817311,0.3904158157996245,2389.601681408,Basic Materials,29.0,29
EICHERMOT.NS,5990.5,0.630937156115625,Good,0.7338882202934773,0.6783695401525354,0.48727869379511257,0.4037797547810114,0.7688424551778714,,,48382.001152,,,,37530.099712,0.24936466731302648,0.2592034878731815,1643.062493184,Consumer Cyclical,30.0,30
ITC.NS,399.3500061035156,0.621805465806154,Good,0.6610923104765026,0.799094254690456,0.449852259815839,0.4053867782353171,0.7296753427523588,,,199679.000576,,,,204869.500928,0.18440703189262228,0.23274515981770774,5002.537467904,Consumer Defensive,31.0,31
ICICIBANK.NS,1433.199951171875,0.6151666033048728,Good,0.6879069241841089,0.577330619757189,0.5,0.40704721093827434,0.8333333333333333,,,528909.59872,,,,1968211.755008,0.18245842687205954,0.142407317824002,10232.846614528,Financial Services,32.0,32
INDUSINDBK.NS,770.8499755859375,0.6012800338642494,Good,0.7630620406942112,0.36149140670666213,0.5,0.4769971712179835,0.8333333333333333,,,10088.200192,,,,593754.914816,0.33607394355450243,0.6186029724730099,600.550670336,Financial Services,33.0,33
BPCL.NS,315.79998779296875,0.5971245995190515,Fair,0.2944892475989255,0.6790323889542806,0.5172028791733684,0.5617015599586023,1.0,,,173340.196864,,,,102431.203328,0.28776251023865984,0.3458878601472247,1370.316079104,Energy,34.0,34
KOTAKBANK.NS,1983.300048828125,0.5833363268553257,Fair,0.49132235545680814,0.5908003492758016,0.5,0.504526676461977,0.8333333333333333,,,191500.091392,,,,477116.727296,0.2148586112482767,0.23152698879135325,3943.435075584,Financial Services,35.0,35
BEL.NS,372.04998779296875,0.5805301911398609,Fair,0.6031400673784666,0.6070874178801505,0.41046710523618507,0.3971173533687366,0.8333333333333333,,,55003.500544,,,,95450.996736,0.3271210788094283,0.2689641278941328,2719.603490816,Industrials,36.0,36
BAJAJ-AUTO.NS,8750.5,0.5633535038115054,Fair,0.479589488440897,0.5443682125891957,0.5219364953114002,0.42352348969663556,0.8333333333333333,,,75933.802496,,,,92011.798528,0.24765718572367412,0.4231352548080205,2443.01692928,Consumer Cyclical,37.0,37
BHARTIARTL.NS,1930.699951171875,0.5480088556248319,Fair,0.25038696337149735,0.586692195212339,0.775,0.5141076258460326,0.6797876593129241,1072185.99936,252356.493312,353440.989184,3.0335643917118627,0.021797112342943688,0.2353663389212641,212641.005568,0.20588643382212993,0.1388684791616458,11577.519505408,Communication Services,38.0,38
JSWSTEEL.NS,1057.800048828125,0.5345352661710323,Fair,0.0,0.7769852477343911,0.6139241714124423,0.37568921561110385,1.0,,,48429.99808,,,,184820.006912,0.24628701608886944,0.15155420804203162,2580.630208512,Basic Materials,39.0,39
HDFCLIFE.NS,787.0,0.502814280544317,Fair,0.5,0.45894425182936754,0.6116349383612685,0.4246562833745983,0.5,,,18796.300288,,,,30487.699456,0.24299848526295575,0.24564704431770665,1696.339197952,Financial Services,40.0,40
SBIN.NS,816.4500122070312,0.48442786432924834,Weak,0.2661586843404107,0.4783131469559431,0.5,0.3703926479086024,0.8333333333333333,,,794378.502144,,,,3901819.191296,0.24098856890712006,0.239441304196434,7536.339582976,Financial Services,41.0,41
TATAMOTORS.NS,686.7999877929688,0.45517531460201466,Weak,0.0,0.6571320484702909,0.6802535295554845,0.5355906715917622,0.5367979912904763,,,212399.996928,,,,674279.981056,0.28132524779328166,0.5010113132289324,2528.598556672,Consumer Cyclical,42.0,42
BAJAJFINSV.NS,1963.800048828125,0.45274376142411865,Weak,0.0,0.5470913717739996,1.0,0.6012524440159888,0.26568810233460194,,,95236.603904,,,,147385.401344,0.23902656228082436,0.3224859472903853,3134.715854848,Financial Services,43.0,43
M&M.NS,3398.89990234375,0.4514002775992165,Weak,0.22144076899988735,0.48260372023185016,0.37905082890979774,0.602505614583879,0.6666666666666666,,,137297.903616,,,,410692.48512,0.27263276817040244,0.22417558953632116,4136.495218688,Consumer Cyclical,44.0,44
SBILIFE.NS,1846.800048828125,0.44871759379301246,Weak,0.5,0.4005683187514695,0.4024876543790429,0.42070932777940034,0.5,,,24881.50016,,,,24400.300032,0.2236937959288279,0.2808441390642574,1851.380072448,Financial Services,45.0,45
GRASIM.NS,2811.39990234375,0.38341279344523577,Poor,0.0,0.47940617107250527,0.6892874282353025,0.3696642467343844,0.4711221828675827,,,40493.30176,,,,238748.696576,0.21383199619973875,0.1922838263206587,1907.683885056,Basic Materials,46.0,46
ADANIENT.NS,2302.89990234375,0.38216953271603243,Poor,0.0,0.6086349275207116,0.6862447314676836,0.46573511723346667,0.26666666666666666,,,62314.500096,,,,66033.401856,0.5470121140437505,0.7134659923523925,2657.960853504,Energy,47.0,47
TITAN.NS,3651.39990234375,0.356457207010783,Poor,0.27154621665938034,0.3924649046214681,0.34325726295560804,0.587285906647929,0.26666666666666666,,,37129.998336,,,,23470.000128,0.21305922858392065,0.22498193792542592,3238.956105728,Consumer Cyclical,48.0,48
SHRIRAMFIN.NS,620.8499755859375,0.2990312694428335,Poor,0.0,0.5875789423825788,0.5,0.2988426555411008,0.183445413175763,,,95986.499584,,,,109314.899968,0.33708073607962796,0.2900455860223039,1167.769206784,Financial Services,49.0,49
BAJFINANCE.NS,900.7999877929688,0.2984226603513117,Poor,0.0,0.45175517831534234,0.5,0.4091873129578166,0.23346763872285387,,,174254.505984,,,,106489.004032,0.25342285149240334,0.2830605527968392,5597.05751552,Financial Services,50.0,50
