Symbol,Current_Price,Expected_Return,Composite_Score,Value_Score,Quality_Score,Momentum_Score,Size_Score,LowVol_Score,Volatility,Sharpe_Ratio,Max_Drawdown,Market_Cap_B,Sector,Factor_Rank,Expected_Return_Rank,Rank
COALINDIA.NS,374.45001220703125,0.06757791437568791,0.535581480257221,0.6917783008549753,0.922654268808115,0.2984134055979782,0.0,0.5736998644195387,0.2964679764855659,0.008695422710565243,0.3084013195483768,2307.634233344,Energy,1.0,1.0,1
CIPLA.NS,1592.800048828125,0.06540382860567759,0.5086534364627391,0.4499766745531986,0.9863434752159365,0.3634739045147241,0.0,0.5870492289177429,0.2377001861149742,0.0016988989881659446,0.1760191078345779,1286.590562304,Healthcare,2.0,2.0,2
DRREDDY.NS,1277.5999755859375,0.06418872485539787,0.48667247947933495,0.5246376678008803,0.8563402845445562,0.33651877476333586,0.0,0.5729829770214191,0.20734246573576923,-0.003912730282835547,0.2297998077089485,1063.442251776,Healthcare,3.0,5.0,3
BEL.NS,374.8500061035156,0.06388963419892894,0.4834963759239922,0.2512625238601265,0.9969586132866856,0.4623539024188777,0.0,0.5585261603256971,0.3517527323636812,-0.0031566657453083796,0.2689641066559769,2740.071170048,Industrials,4.0,6.0,4
EICHERMOT.NS,5924.5,0.06382694579105448,0.4819595029026089,0.31669930462123147,0.9159271931506586,0.43258790937917935,0.0,0.6565590111484152,0.2478816504649774,-0.004732315630241692,0.14254589700823062,1624.960139264,Consumer Cyclical,5.0,7.0,5
HEROMOTOCO.NS,4997.89990234375,0.06425341053582849,0.4807066824068343,0.4490814182655393,0.8064170056149382,0.41656547182498765,1.7406053048230063e-05,0.6268809757251077,0.2622640773037461,-0.002846708828166489,0.4215789884500593,999.919845376,Consumer Cyclical,6.0,4.0,6
SUNPHARMA.NS,1641.800048828125,0.0627712230169519,0.48040496718968506,0.3611694286267217,0.969404232148557,0.31410778424371916,0.0,0.692346059349356,0.19573169195609805,-0.01138689887556896,0.19128608185075827,3939.220062208,Healthcare,7.0,9.0,7
HINDALCO.NS,704.2000122070312,0.06501360233405917,0.47878058859238504,0.7006205253104193,0.622977673255188,0.37836643919639723,0.0,0.5328942915188392,0.29766799213171596,4.5696327514957426e-05,0.2622939887533086,1563.845197824,Basic Materials,8.0,3.0,8
ITC.NS,398.29998779296875,0.062471487370451564,0.4762109797640025,0.3975883666064281,0.9959825414145422,0.2910886751579271,0.0,0.5504608396927811,0.1819604869965881,-0.013895943406635582,0.23274515981770783,4989.38413056,Consumer Defensive,9.0,11.0,9
MARUTI.NS,14349.0,0.06314133263561365,0.4671914401778278,0.3935260123854926,0.7941016170892393,0.4142216163016517,0.0,0.6672912873373193,0.2174319739301054,-0.008548270665030281,0.20443700416091168,4511.368740864,Consumer Cyclical,10.0,8.0,10
SHRIRAMFIN.NS,615.8499755859375,0.06269238503673064,0.45403438494381,0.6088672208143888,0.680643295393013,0.34059858360300926,0.0,0.46507109991207185,0.34891189191497574,-0.006613746956586093,0.29004558602230374,1158.36452864,Financial Services,11.0,10.0,11
HINDUNILVR.NS,2629.89990234375,0.06112390220626252,0.45332595362855765,0.2375113064659912,0.9688496305464911,0.3736788456219109,0.0,0.5831600796995932,0.19274388792826222,-0.020110094464734125,0.2822537169610304,6179.186540544,Consumer Defensive,12.0,20.0,12
ULTRACEMCO.NS,12589.0,0.061267105056024215,0.44515636099656525,0.3256657596648629,0.8025974969135055,0.39293945979059847,0.0,0.6485568190432356,0.22872056405096522,-0.016320766606469174,0.1618227365983976,3703.0920192,Basic Materials,13.0,19.0,13
GRASIM.NS,2813.800048828125,0.06162581517341975,0.44096008181102525,0.474312921977644,0.6480630393196207,0.3796645654870014,0.0,0.654499501149587,0.22786422737020495,-0.014807874257060556,0.1922838263206584,1909.312585728,Basic Materials,14.0,13.0,14
TATAMOTORS.NS,680.2999877929688,0.06127649569992926,0.440432988498253,0.6416308249475758,0.6712667558651355,0.2642362265296197,0.0,0.4614953666267031,0.2905519200272937,-0.012815280311074748,0.5010113132289326,2504.667430912,Consumer Cyclical,15.0,18.0,15
BHARTIARTL.NS,1933.300048828125,0.06143823894679465,0.43877998758083614,0.36962054277977163,0.6454422854876632,0.42633369780456215,0.0,0.7843085606283684,0.21703776122144303,-0.01641078968544694,0.1388684791616455,11593.110781952,Communication Services,16.0,14.0,16
KOTAKBANK.NS,1986.5999755859375,0.06134901196563095,0.4381418084165872,0.5185248188527584,0.6661999999999999,0.3467879366371926,0.0,0.5526361954409945,0.22956578419334212,-0.01590388588263728,0.1949931614536883,3949.996539904,Financial Services,17.0,15.0,17
RELIANCE.NS,1409.199951171875,0.06130539820822405,0.4367164951505214,0.5224592675089988,0.6446769560891403,0.34901121616477715,0.0,0.5767963520979231,0.21206272776937496,-0.017422211958878258,0.2717574500782333,19069.998727168,Energy,18.0,17.0,18
SBIN.NS,816.25,0.06222656215126655,0.4357771997383203,0.6838008040508154,0.4533,0.36609261467132487,0.0,0.5997884505778519,0.24947977570663152,-0.01111688448844366,0.23944130419643428,7534.49304064,Financial Services,19.0,12.0,19
TATASTEEL.NS,158.5500030517578,0.06133282248652085,0.43492198560912554,0.48729810957256453,0.6625751910258495,0.3801012802110492,0.0,0.524283404067597,0.2861647287188134,-0.012814917931701286,0.3168278344845451,1977.403834368,Basic Materials,20.0,16.0,20
WIPRO.NS,248.63999938964844,0.06054121733397052,0.4323174648823894,0.5149959452084844,0.7055126514736271,0.30271897149847343,0.0,0.5151057283724318,0.27248736396961976,-0.016363263973321725,0.26610249782526163,2603.58406144,Technology,21.0,25.0,21
