Symbol,Last_Price,1D_Return_%,5D_Return_%,20D_Return_%,Price_vs_SMA20_%,RSI_14,1D_Return_%_Score,5D_Return_%_Score,20D_Return_%_Score,Price_vs_SMA20_%_Score,RSI_Score,Composite_Score,Rank,Signal
HINDUNILVR.NS,2630.5,-0.6608761329305102,6.042888673808422,7.904665982122183,4.070848974204999,60.503293161856085,58.827174267624095,66.99414782816982,61.87980190899993,80.94644904628268,100,70.32584347914258,1,Buy
APOLLOHOSP.NS,7925.0,-0.018923862991226947,1.45296695733923,7.763208303206182,5.694184656845835,75.03517958891786,85.52229071834631,32.141611236439914,61.37013313699297,100.0,100,69.27478635795981,2,Buy
CIPLA.NS,1592.5,-0.018837821379136255,1.8222506393861915,7.030040585363206,3.5078935702198555,72.91772446409436,85.52586869596541,34.94568368828363,58.7285466689295,74.33888193049553,100,64.05164161324367,3,Buy
TITAN.NS,3613.0,-0.09125484012849627,3.54215914241387,3.6907387573323014,4.420456351786828,92.59895536415883,82.51445984354226,48.00542146575296,46.697118788200996,85.04988991423326,20,57.397637962276534,4,Neutral
TCS.NS,1085.5999755859375,-0.22975829942958326,3.2724530072241187,1.1931325666693082,1.7637079504529307,61.45308283692277,76.75489461103659,45.95746868433912,37.69830097988615,53.866881016361155,100,55.08546785997835,5,Neutral
HINDALCO.NS,705.4500122070312,-0.261554590395241,1.4670999219031033,2.1597807480302045,2.5429497618202346,66.61295622215253,75.43266906596676,32.24892671915166,41.18111220181722,63.01306299025848,100,54.33407829827979,6,Neutral
ULTRACEMCO.NS,12695.0,-1.35975135975136,3.068929122351216,3.83184067394593,2.300244569706411,68.41772151898734,29.76495821490719,44.41205591196608,47.20550575679392,60.16436336877936,100,51.76228211102165,7,Neutral
BAJAJFINSV.NS,898.0,0.26797950865198317,4.24284488653357,-6.355911302066131,1.6199214064915868,61.00130862335075,97.45295795758628,53.32592082168118,10.499269100607494,52.17921760138001,100,51.535048149516484,8,Neutral
INDUSINDBK.NS,1496.0999755859375,-0.020051378189633873,3.3432358946260843,-3.632851814110305,1.8739182928608988,44.72139962000699,85.47540382202881,46.49494259470965,20.31038996702915,55.16045103835485,60,47.57025341976145,9,Neutral
BRITANNIA.NS,5563.5,-0.6074140241179138,4.922206506364923,-0.6449852045013915,0.6015877201666964,43.900573613766724,61.05035702946468,58.48450024346773,31.075604817926326,40.226746533465345,60,47.1467093673576,10,Neutral
TATACONSUM.NS,682.0,-0.49606423883178374,2.6181199297700797,-2.640970735189152,2.1217981167533484,55.74884901134091,65.68075655318206,40.98893786096615,23.88411474001142,58.06988677948877,80,46.87855972612003,11,Neutral
SBILIFE.NS,1857.199951171875,-1.0706917985112252,0.901878507341225,3.545939811086396,0.6353354726652105,64.84906438580373,41.78528902428326,27.957045233948246,46.17541150665515,40.62285346851271,100,45.23424880782864,12,Neutral
ASIANPAINT.NS,2520.5,-1.7961542859110557,-0.32427537193864264,7.159555093405756,1.7964305667112823,63.45056790079972,11.617461151969986,18.64652196481353,59.19518447026319,54.250955636838405,100,45.012996132445515,13,Neutral
GRASIM.NS,2821.39990234375,-2.075525817075019,2.04347361552244,3.5002599047720295,1.994656805522932,61.09979775091062,0.0,36.625490523126786,46.01082785213003,56.577593178260045,100,44.275139622072714,14,Neutral
SUNPHARMA.NS,1645.5999755859375,0.3292296411912643,0.2558761489829031,-2.7423182277814706,-0.042823838357919364,54.92870662365074,100.0,23.05177184938455,23.51896204917599,32.66310544751396,80,42.351252666601724,15,Neutral
BAJFINANCE.NS,1966.4000244140625,-0.6868674538352271,2.1453456626612244,-3.2426326246492,1.0187158445486455,57.932022719609925,57.746344164281474,37.39903296456741,21.7163407547859,45.12269754170697,80,41.55115160056124,16,Neutral
ONGC.NS,238.1300048828125,-0.06714021059549546,0.5022378784268478,-2.736591470871097,0.32503817646392097,55.31752307899113,83.51724910638008,24.92246414451415,23.53959542294869,36.98080616603862,80,41.21624326217788,17,Neutral
WIPRO.NS,248.80999755859375,-0.4401608928800149,0.810339945619587,-3.1109525542301397,1.057649079344336,59.415784552298106,68.00545637908755,27.261967786219593,22.19078102768282,45.579667952020344,80,40.78947830212695,18,Neutral
TATASTEEL.NS,3071.10009765625,-1.0152774772293593,1.6146659179999912,-2.442817736459657,0.6045606445476581,67.38954534500262,44.08965311633181,33.369435868623206,24.598055448680395,40.26164058943906,100,40.3875516870975,19,Neutral
COALINDIA.NS,375.54998779296875,-0.6875594725587519,-0.9895396351697117,0.17986103467881875,0.4584098600120434,71.73844187900698,57.717567070912324,13.594987644688553,34.0475068952054,38.54622741282178,100,39.979879522934965,20,Weak
JSWSTEEL.NS,1053.5,-1.7074125764533932,0.765184122429452,1.9055862102353327,0.13449390697908292,58.03625004007934,15.307720348705159,26.919087214985254,40.26525511352355,34.74433407564383,80,36.05437320523792,21,Weak
ICICIBANK.NS,1435.300048828125,-0.7399689607105797,0.5604988247963849,-2.495960474219805,-0.5667229594415901,35.81299198707083,55.53815677072269,25.364855516446983,24.406583383658138,26.513952992529084,40,31.296703008323405,22,Weak
SBIN.NS,615.5,-0.6937702287282188,-0.15411017734106025,-2.8490234615657695,-1.1883871658758038,82.68030157545616,57.459297310129884,19.938633037224864,23.134505539735784,19.217304024567458,60,30.387365322659925,23,Weak
HCLTECH.NS,1473.800048828125,-1.3190459438818247,-1.073969625157789,-2.2160233164671306,-0.41555086953765086,56.995511495152996,31.45766321447841,12.953887535085276,25.41519054110801,28.28830265327139,80,29.23933905892976,24,Weak
