Symbol,Current_Price,Surprise_Impact_Score,Surprise_Rating,Earnings_Surprise_Magnitude,Revenue_Surprise_Assessment,Guidance_Accuracy,Market_Reaction_Analysis,Execution_Consistency,Trailing_EPS,Forward_EPS,EPS_Growth_Expected,Revenue_Growth,Profit_Margins,Target_Mean_Price,Price_Target_Upside,Recommendation_Mean,Volatility,Max_Drawdown,Beta,Market_Cap_B,Sector,Surprise_Rank,Rank
HINDALCO.NS,704.2000122070312,0.6661012442300813,Moderately Predictable,0.775,0.6548688495905935,0.6611199893333334,0.716019288744152,0.5087529156683656,76.12,,,0.127,0.068909995,746.8889,0.060620401949692766,2.0,0.3039944338671483,0.2622939887533091,1.018,1563.845197824,Basic Materials,1.0,1
SBIN.NS,816.25,0.6405707183951931,Moderately Predictable,0.6830934888483211,0.5296431637458682,0.825629549770291,0.6329980688661271,0.5189654657498093,89.05,82.67,-0.07164514317798984,0.098,0.22672,941.1061,0.15296306278713626,1.475,0.2409680164742035,0.23944130419643372,0.493,7534.49304064,Financial Services,2.0,2
BEL.NS,374.8500061035156,0.6394349783669684,Moderately Predictable,0.6060800000000001,0.512756644721035,0.7985599999999999,0.6144560201421243,0.6674162320072132,7.53,7.64,0.014608233731739632,0.046,0.22952,430.29166,0.14790356941110472,1.73913,0.32728049053108993,0.26896410665597764,0.384,2740.071170048,Industrials,3.0,3
BRITANNIA.NS,5545.5,0.6323321813136019,Moderately Predictable,0.7521071904115236,0.5520630048514937,0.6018669598680595,0.6113991266912145,0.6090476088156402,90.95,81.37,-0.10533260032985155,0.088,0.12016,5891.6665,0.062422955549544724,2.27778,0.19776902940871977,0.2902319760455696,0.529,1335.761174528,Consumer Defensive,4.0,4
TECHM.NS,1505.0,0.6321705098937113,Moderately Predictable,0.700207863185094,0.5814050837826302,0.6255698105480751,0.647687094055968,0.5928525056145072,51.17,64.67,0.2638264608168849,0.027,0.08514,1626.2858,0.0805885714285715,2.80952,0.25714455711266093,0.2914996545818277,0.342,1331.977650176,Technology,5.0,5
CIPLA.NS,1592.800048828125,0.6310750799319782,Moderately Predictable,0.6270031253421173,0.5632082645612797,0.704,0.6817676518864669,0.5930874895061142,66.74,63.54,-0.04794725801618214,0.032,0.19624001,1677.3334,0.05307216761706463,2.19444,0.2295130657765948,0.26508434044955553,0.097,1286.590562304,Healthcare,6.0,6
LT.NS,3595.800048828125,0.6230101972630318,Moderately Predictable,0.6197562636211669,0.6142687485237773,0.704,0.7027983177293109,0.49498816996793915,115.43,104.42,-0.09538248289006328,0.161,0.05903,4050.9,0.12656430974803304,1.53333,0.2373441433138534,0.2262685996936718,0.497,4945.51957504,Industrials,7.0,7
BHARTIARTL.NS,1933.300048828125,0.6185756423359667,Moderately Predictable,0.7149687521218129,0.5357102004307007,0.5863111111111111,0.7850793400908839,0.48833645491759287,58.97,,,0.285,0.19215,2070.9143,0.07118101054996101,1.75,0.2057299989868864,0.1388684791616458,0.155,11593.110781952,Communication Services,8.0,8
KOTAKBANK.NS,1986.5999755859375,0.6167009591421946,Moderately Predictable,0.6808524195220588,0.40554844070827384,0.7614300880007197,0.5939880369941505,0.6199697148537927,96.35,,,0.02,0.25509,2310.139,0.16286068075614288,2.16667,0.21472497409103847,0.23152698879135183,0.378,3949.996539904,Financial Services,9.0,9
M&M.NS,3403.0,0.616243048678131,Moderately Predictable,0.7359668755595344,0.5359825790982973,0.615,0.6851486902758854,0.4964125521360249,122.17,,,0.241,0.08091,3660.6572,0.07571472230384957,1.32353,0.27314192506742774,0.22417558953632094,0.509,4141.485129728,Consumer Cyclical,10.0,10
