Symbol,Current_Price,Breakout_Probability,Probability_Rating,Compression_Intensity,Historical_Patterns,Volume_Volatility_Divergence,Technical_Setup,Microstructure,Expected_Direction,Expected_Magnitude,Direction_Confidence,Current_Volatility_20D,Bollinger_Width,ATR_Volatility,Volatility_Percentile,Monthly_Return,Annual_Return,Max_Drawdown,Sharpe_Ratio,Beta,Market_Cap_B,Sector,Probability_Rank,Rank
TATASTEEL.NS,158.5500030517578,139726.3328339303,Very High Probability,0.2118488695638678,0.5,659685.4147536419,0.7110913127210474,51926.4350485841,0.25,0.03518967764781995,0.25,0.2793094073179799,0.05486876114765847,0.339101185613908,0.5,-0.023301505486938764,-0.27961806584326515,0.270661526822984,0.14492499045684126,1.068,1977.403834368,Basic Materials,1.0,1
COALINDIA.NS,374.45001220703125,34611.221002018334,Very High Probability,0.26729868943863394,0.5,182731.63907581463,0.6518699470700668,-12902.64278872675,0.75,0.01682992193340349,0.75,0.133583364061251,0.0644033233020528,0.21309552892220476,0.5,-0.013771613262465896,-0.16525935914959075,0.308401277164254,-1.3312911696936893,0.044,2307.634233344,Energy,2.0,2
BAJFINANCE.NS,894.5,22593.166945056942,Very High Probability,0.17898619595035947,0.5,130694.2825377288,0.5315271605694271,-23639.59358741261,0.75,0.04030887275955867,0.75,0.31994175885341436,0.0680673355318792,0.3479529421634724,0.5,-0.07524324462777798,-0.9029189355333358,0.1676987001241496,1.034455208618279,0.476,5557.913124864,Financial Services,3.0,3
HCLTECH.NS,1466.300048828125,17341.64890643708,Very High Probability,0.23285655214442613,0.5,83442.89851640133,0.5955405657851438,4351.977719559408,0.0,0.01939093704559447,0.0,0.15391079133345753,0.035533161203651305,0.3030210019738205,0.5,-0.04137106907081434,-0.49645282884977204,0.30662002832863394,-0.46310273182894535,0.23,3972.661248,Technology,4.0,4
SBIN.NS,816.25,16441.796440397316,Very High Probability,0.25127009944087625,0.5,96955.88583114417,0.6600518029652076,-19664.450340845477,0.5,0.015763701013605285,0.5,0.1251204978719292,0.06412965913492023,0.19821794014776373,0.5,-0.004770589040773543,-0.057247068489282515,0.20599419636808008,-0.057181196949078146,0.493,7534.49304064,Financial Services,5.0,5
HDFCLIFE.NS,788.75,15848.491198279286,Very High Probability,0.2976414388509942,0.5,78018.95178423345,0.5387766335188121,1629.4707638523616,0.25,0.016851310525487773,0.25,0.13375313074789744,0.0998403011657016,0.29098642281077164,0.5,0.034585216964415966,0.4150226035729916,0.21692140046185215,0.27279800039715196,0.649,1700.11131904,Financial Services,6.0,6
HEROMOTOCO.NS,4997.89990234375,15597.553144140624,Very High Probability,0.3090331870850531,0.5,74604.36734067368,0.2966513354431154,4509.55280005866,1.0,0.04701404268997832,1.0,0.37316239525637035,0.26566470115606866,0.4926557229907342,0.5,0.1564207978688289,1.8770495744259468,0.4215789884500593,-0.1469768670082045,0.707,999.919845376,Consumer Cyclical,7.0,7
HINDUNILVR.NS,2629.89990234375,13891.463999116864,Very High Probability,0.30731654232921385,0.5,68759.00840025138,0.408660058529437,929.3279394815216,1.0,0.028801351301103725,1.0,0.2286036388959811,0.1111264244508239,0.32234544514129365,0.5,0.0727967927472436,0.8735615129669232,0.2822537169610307,-0.3595240024926625,0.37,6179.186540544,Consumer Defensive,8.0,8
ASIANPAINT.NS,2504.5,12337.289226883688,Very High Probability,0.32107674645174517,0.5,63779.92947967203,0.4921557926851099,-2793.1717440415655,0.0,0.024062872351367077,0.0,0.190993128214828,0.11639426706211989,0.2745202750116784,0.5,0.054443937833568934,0.6533272540028272,0.3687269794860675,-1.2373981123190245,0.391,2400.721043456,Basic Materials,9.0,9
TATAMOTORS.NS,680.2999877929688,12287.505001030191,Very High Probability,0.2033261343220533,0.5,61390.034097420656,0.5610804344186513,61.587919648769066,0.25,0.03580618424348076,0.25,0.28420277671922856,0.10879225441912264,0.36177658658079215,0.5,-0.011130611114590462,-0.13356733337508556,0.48312753718924034,-1.5024134132298246,1.119,2504.667430912,Consumer Cyclical,10.0,10
DRREDDY.NS,1277.5999755859375,9684.388867286616,Very High Probability,0.293534151526102,0.5,49925.56335376403,0.6516351030576791,-2006.7995484635412,0.25,0.029526079655428264,0.25,0.2343559918768406,0.10360032193523888,0.3151275940528773,0.5,0.02611182788111588,0.31334193457339055,0.22639318310745962,-0.5256954211218863,0.311,1063.442251776,Healthcare,11.0,11
M&M.NS,3403.0,9622.052963223317,Very High Probability,0.20597055865323655,0.5,46134.23798636974,0.4776162716133944,2633.0482057930913,1.0,0.02598636929016357,1.0,0.20626041185777663,0.10054790028075969,0.3439520880183857,0.5,0.04187523952218286,0.5025028742661943,0.22417558953632155,0.7626256997504315,0.509,4141.485129728,Consumer Cyclical,12.0,12
TECHM.NS,1505.0,9264.339032254811,Very High Probability,0.2777373766994526,0.5,45515.100435601926,0.40475467988223535,1073.7586505884476,0.25,0.027684533812078183,0.25,0.21973917488855355,0.06451976077921821,0.3796168112734471,0.5,-0.024955509994955105,-0.29946611993946126,0.29149965458182786,-0.2233308623393461,0.342,1331.977650176,Technology,13.0,13
AXISBANK.NS,1070.9000244140625,8000.545385328268,Very High Probability,0.1741607101730587,0.5,58730.022158888074,0.49056775328689656,-24971.341145265887,-0.5,0.015917562257376207,0.5,0.12634173363421602,0.027090272185626915,0.21658590197248262,0.5,-0.030511909928698785,-0.3661429191443854,0.25761493991717266,-0.5064885764460315,0.476,3322.285391872,Financial Services,14.0,14
TRENT.NS,5418.0,7626.759140431493,Very High Probability,0.22931953964431165,0.5,40436.229523631104,0.39836429062833584,-3071.5256588215557,0.25,0.028244645863173597,0.25,0.22418492646913984,0.13422734311544493,0.381084958918116,0.5,0.0136434165976268,0.1637209991715216,0.4389522497148457,-0.5592089895645401,0.209,1926.028591104,Consumer Cyclical,15.0,15
NESTLEIND.NS,1162.9000244140625,7359.159388112418,Very High Probability,0.24895637346330277,0.5,38247.57769172848,0.5836370230171178,-1937.5395658673121,0.75,0.03428407610000237,0.75,0.2721214178706584,0.10172582124452953,0.3874499020095662,0.5,-0.04882306646207912,-0.5858767975449495,0.2197787029710092,-0.5462798946639076,0.239,2242.431680512,Consumer Defensive,16.0,16
LT.NS,3595.800048828125,7069.14975336433,Very High Probability,0.24381709628721904,0.5,39854.51244808227,0.809815218406429,-6013.734418726384,-0.25,0.029167749353510474,0.25,0.23151183327856112,0.08277143046034553,0.24496494673453656,0.5,0.03334163711000149,0.40009964532001785,0.22626859969367183,-0.057400024734779426,0.497,4945.51957504,Industrials,17.0,17
TITAN.NS,3621.0,6991.432860692808,Very High Probability,0.31225039041297165,0.5,34281.80807941844,0.5000108386797019,898.621203904767,0.25,0.01932281258330592,0.25,0.15337007017721102,0.10561708398846184,0.26964548926870946,0.5,0.043122304504046645,0.5174676540485598,0.21888359578053249,-0.08437720137559392,0.297,3211.989876736,Consumer Cyclical,18.0,18
SBILIFE.NS,1859.0,6176.2343109332205,Very High Probability,0.22870626486222867,0.5,32011.005589374992,0.547988590287636,-1508.2078786435777,0.5,0.022950464890147893,0.5,0.18216366771795195,0.03692985129948845,0.29251046490255767,0.5,0.02831075100485736,0.3397290120582883,0.28084413906425787,0.0570408605823068,0.381,1863.610269696,Financial Services,19.0,19
EICHERMOT.NS,5924.5,5751.322499469686,Very High Probability,0.38149448032482364,0.5,27973.122146425456,0.49206822464507,1042.692575538779,1.0,0.01999117422239594,1.0,0.15867502622587412,0.1471751002368204,0.2662776316407414,0.5,0.09909429413620041,1.189131529634405,0.14254589700823075,0.718340230158425,0.127,1624.960139264,Consumer Cyclical,20.0,20
