Symbol,Current_Price,Reliability_Score,Reliability_Rating,OCF_Conversion,Cash_Flow_Stability,Working_Capital_Efficiency,Accruals_Quality,FCF_Generation,Operating_CF_M,Free_CF_M,Net_Income_M,OCF_NI_Ratio,FCF_Yield,FCF_Conversion,Total_Cash_M,Volatility,Max_Drawdown,Market_Cap_B,Sector,Reliability_Rank,Rank
TCS.NS,3054.0,0.8018182218030943,Excellent,0.852048199132794,0.8780958367503512,0.7603512403862303,0.6525405215951434,0.8161783917665393,504099.995648,341783.740416,492729.991168,1.0230755275380088,0.030931644986545534,0.6780078225881572,414240.014336,0.1997626174046498,0.3292007980033118,11049.646424064,Technology,1.0,1
HEROMOTOCO.NS,4997.89990234375,0.8002079626823309,Excellent,0.9576342910423288,0.8395700081657607,0.5137696889405666,0.6008763366698875,1.0,,,50378.801152,,,,71878.00064,0.24733022370249022,0.42157898845005926,999.919845376,Consumer Cyclical,2.0,2
BRITANNIA.NS,5545.5,0.7962450111551129,Strong,0.964953851092994,0.744873109424775,0.5714448940532023,0.6116196512417936,1.0,,,21938.100224,,,,12444.199936,0.19776900863419605,0.2902319760455699,1335.761174528,Consumer Defensive,3.0,3
TECHM.NS,1505.0,0.7947132493221365,Strong,0.8778660053192735,0.8563377715994263,0.7000000000000001,0.47699851843292923,0.9621470795374673,,,45405.999104,,,,73787.998208,0.25714460807793244,0.2914996545818279,1331.977650176,Technology,4.0,4
CIPLA.NS,1592.800048828125,0.7802989046154776,Strong,0.9620156395361159,0.8096174899972732,0.4478408491196852,0.5949179648555086,0.9953281608986531,,,53924.999168,,,,106171.998208,0.22951304064654898,0.2650843404495559,1286.590562304,Healthcare,5.0,5
APOLLOHOSP.NS,7922.5,0.7758515301576492,Strong,0.9403075623211777,0.7051948485254,0.5599999999999999,0.5849044658151651,1.0,,,15735.000064,,,,20103.999488,0.22790893528053735,0.18497179961697247,1139.136659456,Healthcare,6.0,6
ADANIPORTS.NS,1341.199951171875,0.7528630220420758,Strong,0.8523620559145948,0.7555368997767522,0.6399682432741925,0.404476529688254,1.0,,,112940.703744,,,,60726.198272,0.3968105386176168,0.5233702170368225,2897.179836416,Industrials,7.0,7
ONGC.NS,236.2899932861328,0.75175194154307,Strong,0.7282466554778372,0.837827702907007,0.6977277652796392,0.6137330564924677,0.8525961278120566,,,360552.726528,,,,326362.759168,0.2844304761284409,0.3226045692699778,2972.717154304,Energy,8.0,8
HDFCBANK.NS,1964.5999755859375,0.7477069703540589,Strong,0.9292622789201164,0.7799786620043672,0.5,0.39597112148770824,1.0,,,705753.120768,,,,1425618.763776,0.19379516184159082,0.19913778900702683,15082.273636352,Financial Services,9.0,9
ULTRACEMCO.NS,12589.0,0.740495251673716,Strong,0.9475996424017482,0.6269766797424279,0.6699923067216843,0.5946253418151366,0.7750387125409297,,,67701.899264,,,,43130.400768,0.2160132897665141,0.1618227365983969,3703.0920192,Basic Materials,10.0,10
HINDUNILVR.NS,2629.89990234375,0.731436522885926,Strong,0.9486288330102668,0.6376621732573662,0.6618372772858807,0.6229264664294257,0.7047022728014799,,,107949.99808,,,,110530.002944,0.1882478152369095,0.28225371696103,6179.186540544,Consumer Defensive,11.0,11
ASIANPAINT.NS,2504.5,0.7307990994193216,Strong,0.6722131343392489,0.7439273812214738,0.6172726368826772,0.6033720814245277,1.0,,,35970.199552,,,,46921.699328,0.19261361730179585,0.39041581579962437,2400.721043456,Basic Materials,12.0,12
COALINDIA.NS,374.45001220703125,0.7296312682623314,Strong,0.8753219329355078,0.7432541092005933,0.5327123981321896,0.5992435235751811,0.8286047751281033,,,331420.696576,,,,373905.686528,0.26846615048620415,0.30840136193249384,2307.634233344,Energy,13.0,13
TATACONSUM.NS,1084.0999755859375,0.7278389977079267,Strong,0.9530431991084706,0.7455589076438309,0.44122988284569287,0.6078335199377328,0.8052270592112221,,,13223.000064,,,,31088.400384,0.21938705194630523,0.29009377872461195,1072.753803264,Consumer Defensive,14.0,14
MARUTI.NS,14349.0,0.7222977075420306,Strong,0.9253095364672438,0.6238284714693352,0.5599999999999999,0.5835864164312395,0.8333333333333333,,,145328.996352,,,,88871.002112,0.2054018322696694,0.20443700416091198,4511.368740864,Consumer Cyclical,15.0,15
HINDALCO.NS,704.2000122070312,0.7200051896887858,Strong,0.9101728504311064,0.8282917282362932,0.47725066763495283,0.5641877294285532,0.7336266924623853,,,169309.995008,,,,239939.9936,0.3039944681720612,0.2622939887533095,1563.845197824,Basic Materials,16.0,16
RELIANCE.NS,1409.199951171875,0.7179048260545647,Strong,0.7494587099186653,0.8721597788632593,0.5103947372685883,0.5824171912124152,0.8333333333333333,,,815039.971328,,,,2252110.036992,0.2060294879215479,0.27175745007823293,19069.998727168,Energy,17.0,17
SUNPHARMA.NS,1641.800048828125,0.715171938191622,Strong,0.8677897145340395,0.7350151772694823,0.31416602561862206,0.5892551265366074,1.0,,,103720.501248,,,,261227.200512,0.18615090231872003,0.19128608185075824,3939.220062208,Healthcare,18.0,18
NESTLEIND.NS,1162.9000244140625,0.7085144337328999,Strong,0.972268860366025,0.6024299979019991,0.3443306179136843,0.5073006365217123,1.0,,,31075.79904,,,,761.8,0.18682681122572029,0.21977870297100882,2242.431680512,Consumer Defensive,19.0,19
LT.NS,3595.800048828125,0.7051301937118561,Strong,0.8810655631339639,0.7571317109778879,0.574295252291837,0.6048842735544432,0.6392288462062681,,,153938.00192,,,,605940.088832,0.23734413932843487,0.22626859969367172,4945.51957504,Industrials,20.0,20
