Symbol,Current_Price,Expected_Return,Composite_Score,Value_Score,Quality_Score,Momentum_Score,Size_Score,LowVol_Score,Volatility,Sharpe_Ratio,Max_Drawdown,Market_Cap_B,Sector,Factor_Rank,Expected_Return_Rank,Rank
COALINDIA.NS,374.45001220703125,0.06757791551956568,0.5355814998503658,0.6917783008549753,0.922654268808115,0.2984134024268856,0.0,0.5737000682787181,0.2964678640343895,0.00869542986711926,0.3084013195483779,2307.634233344,Energy,1.0,1.0,1
CIPLA.NS,1592.800048828125,0.06540382860567759,0.5086534364627391,0.4499766745531986,0.9863434752159365,0.3634739045147241,0.0,0.5870492289177429,0.2377001861149742,0.0016988989881659446,0.1760191078345779,1286.590562304,Healthcare,2.0,2.0,2
DRREDDY.NS,1277.5999755859375,0.06418872485539787,0.48667247947933495,0.5246376678008803,0.8563402845445562,0.33651877476333586,0.0,0.5729829770214191,0.20734246573576923,-0.003912730282835547,0.2297998077089485,1063.442251776,Healthcare,3.0,5.0,3
BEL.NS,374.8500061035156,0.06388963486242846,0.48349638601154876,0.2512625238601265,0.9969586132866856,0.46235390824349015,0.0,0.5585262466397318,0.3517526882307662,-0.0031566642550947275,0.2689641278941334,2740.071170048,Industrials,4.0,6.0,4
EICHERMOT.NS,5924.5,0.06382694579105448,0.4819595029026089,0.31669930462123147,0.9159271931506586,0.43258790937917935,0.0,0.6565590111484152,0.2478816504649774,-0.004732315630241692,0.14254589700823062,1624.960139264,Consumer Cyclical,5.0,7.0,5
HEROMOTOCO.NS,4997.89990234375,0.06425341085333358,0.48070668769858593,0.4490814182655393,0.8064170056149382,0.41656547182498765,1.7406053048230063e-05,0.626881028642624,0.2622640733780473,-0.0028467076601461565,0.4215789884500595,999.919845376,Consumer Cyclical,6.0,4.0,6
SUNPHARMA.NS,1641.800048828125,0.06277122265629247,0.48040496117869436,0.3611694286267217,0.969404232148557,0.31410778424371916,0.0,0.6923459992394486,0.19573174380905745,-0.011386897701589882,0.19128608185075746,3939.220062208,Healthcare,7.0,9.0,7
HINDALCO.NS,704.2000122070312,0.06501360258410376,0.4787805927597948,0.7006205253104193,0.622977673255188,0.37836643919639723,0.0,0.5328943331929363,0.2976679672713621,4.569717134310406e-05,0.262293988753309,1563.845197824,Basic Materials,8.0,3.0,8
ITC.NS,398.29998779296875,0.062471486943455834,0.476210972647407,0.3975883666064281,0.9959825414145422,0.2910886751579271,0.0,0.5504607685268263,0.1819605298806761,-0.013895942478307171,0.23274520615452968,4989.38413056,Consumer Defensive,9.0,11.0,9
MARUTI.NS,14349.0,0.06314133263561365,0.4671914401778278,0.3935260123854926,0.7941016170892393,0.4142216163016517,0.0,0.6672912873373193,0.2174319739301054,-0.008548270665030281,0.20443700416091168,4511.368740864,Consumer Cyclical,10.0,8.0,10
SHRIRAMFIN.NS,615.8499755859375,0.06269238515985487,0.4540343842172303,0.6088672208143888,0.680643295393013,0.34059860027491107,0.0,0.46507105096652085,0.34891192139955596,-0.006613746044815052,0.29004558602230407,1158.36452864,Financial Services,11.0,10.0,11
HINDUNILVR.NS,2629.89990234375,0.06112390236165975,0.45332595621851146,0.2375113064659912,0.9688496305464911,0.3736788456219109,0.0,0.5831601055991315,0.19274389470560094,-0.02011009295137801,0.28225371696103074,6179.186540544,Consumer Defensive,12.0,20.0,12
ULTRACEMCO.NS,12589.0,0.061267105056024215,0.44515636099656525,0.3256657596648629,0.8025974969135055,0.39293945979059847,0.0,0.6485568190432356,0.22872056405096522,-0.016320766606469174,0.1618227365983976,3703.0920192,Basic Materials,13.0,19.0,13
GRASIM.NS,2813.800048828125,0.06162581487138232,0.44096007677706806,0.474312921977644,0.6480630393196207,0.3796645654870014,0.0,0.654499450810015,0.22786425424686838,-0.014807873835981686,0.19228382632065838,1909.312585728,Basic Materials,14.0,13.0,14
TATAMOTORS.NS,680.2999877929688,0.06127649577423771,0.4404329897367271,0.6416308249475758,0.6712667558651355,0.2642362265296197,0.0,0.46149537901144383,0.29055191113354545,-0.01281528044759916,0.5010113132289322,2504.667430912,Consumer Cyclical,15.0,18.0,15
BHARTIARTL.NS,1933.300048828125,0.06143823894679465,0.43877998758083614,0.36962054277977163,0.6454422854876632,0.42633369780456215,0.0,0.7843085606283684,0.21703776122144303,-0.01641078968544694,0.1388684791616455,11593.110781952,Communication Services,16.0,14.0,16
KOTAKBANK.NS,1986.5999755859375,0.06134901196563095,0.4381418084165872,0.5185248188527584,0.6661999999999999,0.3467879366371926,0.0,0.5526361954409945,0.22956578419334212,-0.01590388588263728,0.1949931614536883,3949.996539904,Financial Services,17.0,15.0,17
RELIANCE.NS,1409.199951171875,0.06130539820822405,0.4367164951505214,0.5224592675089988,0.6446769560891403,0.34901121616477715,0.0,0.5767963520979231,0.21206272776937496,-0.017422211958878258,0.2717574500782333,19069.998727168,Energy,18.0,17.0,18
SBIN.NS,816.25,0.06222656210418262,0.4357771989535882,0.6838008040508154,0.4533,0.36609261467132487,0.0,0.5997884427305309,0.2494797801837268,-0.011116884477671547,0.2394413041964344,7534.49304064,Financial Services,19.0,12.0,19
TATASTEEL.NS,158.5500030517578,0.06133282248652085,0.43492198560912554,0.48729810957256453,0.6625751910258495,0.3801012802110492,0.0,0.524283404067597,0.2861647287188134,-0.012814917931701286,0.3168278344845451,1977.403834368,Basic Materials,20.0,16.0,20
